Drug,DrugMechOfAction,DrugTargetAll,Cancer_PhaseIV,DrugRegulonAll,DrugProgramAll,DrugProgramOverActive,DrugProgramUnderActive,DrugConstrainedProgramActivity,DrugRegulonOverActive,DrugRegulonUnderActive,DrugConstrainedRegulonActivity,IC50,AUCmin-max,sample
DIGOXIN,Sodium/potassium-transporting ATPase inhibitor,ATP1A1,4,"11,36,39,45,100,105,157,179,206,223,236,379,381,382,441,465,483,488,539,559,576,599,680,686,704,718,768,815,1015,1050,1093,1137,1159,1218,1418,1420,1526,1557,1641,1732,1755,1759,1829,1847,1898,1987,2040,2210,2213,2282,2285,2327,2334,2407,2617,2630,2680,2684,2700,2730,2759,2768,2821,2871,2903,3021,3070,3128,3161,3199,3253,3272,3460,3467,3677","1,8,11,13,14,17,21","1,11,17,21",NA,1,"39,100,157,236,381,441,465,483,680,704,1526,1557,1641,2821,3021,3070",NA,1,2.1e-6,5.24986e-4,SN598
MINOXIDIL,"Sulfonylurea receptor 2, Kir6.2 opener",ABCC9,4,"62,80,653,1967,2342","12,115",12,NA,1,653,NA,1,4.99e-5,0.001189678,SN598
VORINOSTAT,Histone deacetylase 1 inhibitor:Histone deacetylase 3 inhibitor:Histone deacetylase 2 inhibitor:Histone deacetylase 6 inhibitor,HDAC2,4,2158,77,77,NA,1,2158,NA,1,9.5e-6,7.33186e-4,SN598
SORAFENIB,Serine/threonine-protein kinase B-raf inhibitor:Platelet-derived growth factor receptor beta inhibitor:Stem cell growth factor receptor inhibitor:Tyrosine-protein kinase receptor RET inhibitor:Vascular endothelial growth factor receptor inhibitor:Tyrosine-protein kinase receptor FLT3 inhibitor:Serine/threonine-protein kinase RAF inhibitor,"BRAF,FLT3,KDR,KIT,PDGFRB,RAF1",4,"149,156,176,600,610,679,709,848,868,891,904,1017,1047,1052,1136,1171,1182,1213,1238,1245,1295,1322,1358,1402,1601,1602,1731,1748,1782,1874,1889,1896,2013,2121,2143,2405,2406,2609,2735,2826,2884,2887,2892,2922,3269,3357,3441,3478,3479,3481,3483,3584","64,92,126,131,150,160,161,173","64,126,160,173",NA,1,1889,NA,1,6.6e-6,6.64717e-4,SN598
BROMPHENIRAMINE MALEATE,Histamine H1 receptor antagonist,HRH1,4,"134,284,462,482,551,642,678,771,837,838,1014,1069,1268,1359,1377,1623,1729,1939,1940,1959,1983,1984,2007,2031,2033,2076,2077,2084,2085,2093,2104,2105,2106,2108,2129,2142,2146,2147,2454,2519,2531,2560,2950,2970,2993,3115,3151,3153","42,48,91","42,48,91",NA,1,"462,482,642,678,837,838,1729,1939,1940,2031,2033,2085,2106,2519,3115,3153",NA,1,0.001,0.001029137,SN598
HYDROXYCHLOROQUINE,Ferriprotoporphyrin IX inhibitor:Toll-like receptor 7 antagonist:Toll-like receptor 9 antagonist,TLR7,4,"34,73,115,133,202,260,290,325,378,402,436,440,457,480,536,598,640,652,745,784,787",2,2,NA,1,"34,115,290,378,402,436,440,457,480,536,652,787",NA,1,3.3e-6,3.76499e-4,SN598
METFORMIN,Mitochondrial complex I (NADH dehydrogenase) inhibitor:Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,"GPD2,NDUFA13",4,"95,685,865,881,890,902,907,1558,1807,2409,2588,2695,3206,3276,3484","78,81,152","78,81,152",NA,1,"1558,2588,2695,3206",NA,1,0.0046,7.33472e-4,SN598
PINDOLOL,Beta-1 adrenergic receptor partial agonist:Beta-2 adrenergic receptor partial agonist,ADRB2,4,"34,59,98,154,190,221,235,290,325,378,402,427,457,480,536,549,573,598,640,676,700,767,784,787,836",2,2,NA,1,"34,59,98,154,290,378,402,457,480,536,549,700,787",NA,1,2.13e-5,0.001217285,SN598
MYCOPHENOLATE MOFETIL,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,"IMPDH1,IMPDH2",4,"245,570,1486,1949,3121","16,68,152","16,152",NA,1,"245,1486",NA,1,4.32e-5,5.18434e-4,SN598
CELECOXIB,Cyclooxygenase-2 inhibitor,PTGS2,4,"17,34,73,98,260,290,323,325,378,402,457,480,505,536,549,573,598,623,636,640,652,668,676,700,745,767,787,812,836",2,2,NA,1,"34,98,290,378,402,457,480,505,536,549,623,652,700,787",NA,1,2.48e-5,0.001158665,SN598
